cropFAO,groupFAO,kcal_100g
Apples,FRUITS AND DERIVED PRODUCTS,52
Apricots,FRUITS AND DERIVED PRODUCTS,48
Artichokes,VEGETABLES AND DERIVED PRODUCTS,47
Asparagus,VEGETABLES AND DERIVED PRODUCTS,20
"Anise, badian, fennel, coriander",SPICES,327
"Fruit, fresh nes",FRUITS AND DERIVED PRODUCTS,95
"Fruit, pome nes",FRUITS AND DERIVED PRODUCTS,58
"Fruit, tropical fresh nes",FRUITS AND DERIVED PRODUCTS,86
Kapokseed in shell,OIL-BEARING CROPS AND DERIVED PRODUCTS,528
Karite nuts (sheanuts),OIL-BEARING CROPS AND DERIVED PRODUCTS,528
"Nuts, nes",NUTS AND DERIVED PRODUCTS,525
Oil palm fruit,OIL-BEARING CROPS AND DERIVED PRODUCTS,401
Palm kernels,OIL-BEARING CROPS AND DERIVED PRODUCTS,401
"Pulses, nes",PULSES AND DERIVED PRODUCTS,282
"Spices, nes",SPICES,306
"Vegetables, fresh nes",VEGETABLES AND DERIVED PRODUCTS,32
Avocados,FRUITS AND DERIVED PRODUCTS,160
Bananas,FRUITS AND DERIVED PRODUCTS,89
Barley,CEREALS AND CEREAL PRODUCTS,352
"Beans, dry",PULSES AND DERIVED PRODUCTS,347
Sugar beet,SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,43
Berries nes,FRUITS AND DERIVED PRODUCTS,43
Blueberries,FRUITS AND DERIVED PRODUCTS,57
"Broad beans, horse beans, dry",VEGETABLES AND DERIVED PRODUCTS,341
Buckwheat,CEREALS AND CEREAL PRODUCTS,343
Cabbages and other brassicas,VEGETABLES AND DERIVED PRODUCTS,25
Carrots and turnips,VEGETABLES AND DERIVED PRODUCTS,41
Cassava,ROOTS AND TUBERS AND DERIVED PRODUCTS,160
Cauliflowers and broccoli,VEGETABLES AND DERIVED PRODUCTS,25
"Cherries, sour",FRUITS AND DERIVED PRODUCTS,50
Cherries,FRUITS AND DERIVED PRODUCTS,63
Chick peas,PULSES AND DERIVED PRODUCTS,378
Chicory roots,TOBACCO AND RUBBER AND OTHER CROPS,72
Maize,CEREALS AND CEREAL PRODUCTS,365
Cranberries,FRUITS AND DERIVED PRODUCTS,46
