"crops","unit","geo","time","values"
"UAAIT","PC_UAA","AT","2016",1.4
"UAAIT","PC_UAA","AT11","2016",5.6
"UAAIT","PC_UAA","AT12","2016",2.7
"UAAIT","PC_UAA","AT13","2016",15.4
"UAAIT","PC_UAA","AT21","2016",0
"UAAIT","PC_UAA","AT22","2016",0.4
"UAAIT","PC_UAA","AT31","2016",0.1
"UAAIT","PC_UAA","AT32","2016",0
"UAAIT","PC_UAA","AT33","2016",0.5
"UAAIT","PC_UAA","AT34","2016",0.2
"UAAIT","PC_UAA","BE","2016",0.8
"UAAIT","PC_UAA","BE10","2016",0
"UAAIT","PC_UAA","BE21","2016",2.1
"UAAIT","PC_UAA","BE22","2016",1.9
"UAAIT","PC_UAA","BE23","2016",0.3
"UAAIT","PC_UAA","BE24","2016",0.6
"UAAIT","PC_UAA","BE25","2016",2
"UAAIT","PC_UAA","BE31","2016",0.3
"UAAIT","PC_UAA","BE32","2016",0.1
"UAAIT","PC_UAA","BE33","2016",0.6
"UAAIT","PC_UAA","BE34","2016",NA
"UAAIT","PC_UAA","BE35","2016",0.1
"UAAIT","PC_UAA","BG","2016",2.1
"UAAIT","PC_UAA","BG31","2016",0.5
"UAAIT","PC_UAA","BG32","2016",0.7
"UAAIT","PC_UAA","BG33","2016",0.7
"UAAIT","PC_UAA","BG34","2016",1.9
"UAAIT","PC_UAA","BG41","2016",2.9
"UAAIT","PC_UAA","BG42","2016",7.4
"UAAIT","PC_UAA","CY","2016",21
"UAAIT","PC_UAA","CY00","2016",21
"UAAIT","PC_UAA","CZ","2016",0.7
"UAAIT","PC_UAA","CZ01","2016",1.7
"UAAIT","PC_UAA","CZ02","2016",1.3
"UAAIT","PC_UAA","CZ03","2016",0.3
"UAAIT","PC_UAA","CZ04","2016",0.8
"UAAIT","PC_UAA","CZ05","2016",0.4
"UAAIT","PC_UAA","CZ06","2016",1.4
"UAAIT","PC_UAA","CZ07","2016",0.1
"UAAIT","PC_UAA","CZ08","2016",0.1
"UAAIT","PC_UAA","DE","2016",2.7
"UAAIT","PC_UAA","DE11","2016",1.4
"UAAIT","PC_UAA","DE12","2016",2.7
