CNTR_CODE;IncomeGroup;Member
AT;High income;old
BE;High income;old
BG;Upper middle income;new
CY;High income;new
CZ;High income;new
DE;High income;old
DK;High income;old
EE;High income;new
EL;High income;old
ES;High income;old
FI;High income;old
FR;High income;old
HR;High income;new
HU;High income;new
IE;High income;old
IT;High income;old
LU;High income;old
LV;High income;new
MK;Upper middle income;not
MT;High income;new
NL;High income;old
NO;High income;not
PL;High income;new
PT;High income;old
RO;Upper middle income;new
SE;High income;old
SI;High income;new
SK;High income;new
TR;Upper middle income;not
UK;High income;old
