"Area","timePeriod","cluster","cv0","yield0","cv1","yield1","cv2","yield2","cv3","yield3","cv4","yield4","cv5","yield5","cv6","yield6","cv7","yield7","cv8","yield8","cv9","yield9"
"Philippines",2001,1,0.0270100442861931,8346236.53844933,0.0162214270756577,9168975.00177526,0.0223546655971949,8106656.37233831,0.0547331069284299,18135202.967015,0.02837992410856,9841560.86004096,0.0177686958049321,9163252.19484315,0.0248042192528775,7428977.37818631,0.0412976070010955,12595833.6120839,0.0487446835555169,11689089.0233124,0.0270100442861931,8346236.53844933
"Suriname",1977,1,0.0335461589454229,10915847.0784155,0.033823561000335,7184671.85075728,0.0199352146208013,5581615.57919505,0.119054172039648,14200109.3589133,0.0463335243826347,8027703.09274388,0.0307782686335865,5777257.41755244,0.0301452815571362,5243752.03941702,0.0461772244824571,11175222.0901252,0.0424788268165753,11510464.3386882,0.0335461589454229,10915847.0784155
"Liberia",1969,1,0.026303778630122,4052202.23568639,0.0198963122026348,5963834.30345406,0.0544730966331793,5386288.25332757,0.0233913783450815,6154535.97914428,0.0464295070138919,6016662.96198501,0.0249805481430854,5193425.58920892,0.0538343793076342,4954797.29823281,0.0351167015222561,8309547.69528229,0.0253886938424537,7965829.36970683,0.026303778630122,4052202.23568639
"Sri Lanka",2001,1,0.0375783247885861,7513985.42382288,0.013737455847088,7404721.71511624,0.0216693802544149,7848980.9067508,0.0539385293959668,19009959.7970052,0.0293207035423852,10488949.5379823,0.0182851220513755,9054936.34594724,0.0275154347789637,7745954.62665225,0.0452689044012167,14351097.6948884,0.050983090774475,13891858.8744507,0.0375783247885861,7513985.42382288
"Angola",2001,1,0.0828981514275626,5190250.8323586,0.0165303881396629,9062511.74721617,0.0206945957032124,7875234.71627987,0.044309393559073,13971652.155829,0.0424493011059179,7691055.91582875,0.01723746292587,9515029.31074737,0.0204881067784923,8155318.42872613,0.049386228749727,12230321.6484703,0.0526816976635728,12212896.395614,0.0828981514275626,5190250.8323586
"Sierra Leone",1969,1,0.0495817577445587,4037269.66305629,0.0197370451006889,5168757.04428456,0.0318710637966836,3857336.95943829,0.106119854510211,6212311.39261824,0.0694777692887239,5976170.928047,0.0269636397363308,4032411.42177922,0.0496860827604267,3571478.1468561,0.0400557338479751,10267622.0339685,0.0207155015446704,7203777.57608474,0.0495817577445587,4037269.66305629
"Angola",1977,1,0.0493659583593057,2467408.6579016,0.0345310231499771,6944433.67727145,0.0289914411961424,5079583.38362633,0.0783598427617094,12666118.2877413,0.0616106027132074,5155056.99886197,0.0281010267215315,5105539.62936236,0.0309527251638365,4771763.52751243,0.0510710403626906,9943835.84301841,0.0461422185286867,10109580.4846535,0.0493659583593057,2467408.6579016
"Sierra Leone",1977,1,0.0591706391912241,3850757.2394466,0.0347607670208137,6745918.39883144,0.018756386952031,4931030.15960293,0.118770619788663,18592031.0096253,0.0465513261682739,7230035.64220284,0.0269955680931639,5066135.49083995,0.0421449793817163,4575440.35195615,0.0423619952739931,11288905.8121358,0.0412377794231843,12243461.5870868,0.0591706391912241,3850757.2394466
"Belize",1985,1,0.0463545753710059,7913187.78751934,0.0253485030275395,6772423.84245158,0.0190919143099927,6484970.27201713,0.102263838888284,16503594.5658485,0.166073556872843,5714030.35517879,0.0223619629303397,6676725.73844676,0.0226598851090353,6904979.43069128,0.0200385562602094,12315524.8784895,0.050847346048812,10075798.666047,0.0463545753710059,7913187.78751934
"Congo",1969,1,0.0535060139805956,5231027.61695631,0.020476675672667,5554749.88060045,0.0433916591974168,5064293.44153121,0.0849302358712336,7208299.79103057,0.0575810992113477,7922668.4955593,0.0210161749128998,5012371.42918999,0.0474847300165852,5166013.27476916,0.039457136414918,11331736.3916946,0.0265346808104359,9952175.22064905,0.0535060139805956,5231027.61695631
