"Region","RegionCode","Country","CountryCode","timePeriod","cvG","cvR","cvL","ratioStabilityG","ratioStabilityR","benefitStabilityG","benefitStabilityR","yieldG","yieldR","yieldL","ratioYieldG","ratioYieldR","benefitYieldG","benefitYieldR","asynchrony","diversity","instabilityTemp","instabilityPrec"
"Burgenland (AT)","AT11","Austria","AT",1977,0.0852582205286038,0.106572216205387,0.0749256793777875,1.1379038700299,1.42237237073331,"winner","winner",30549150.9735981,48410268.0101112,29655236.8942397,0.970738496787327,0.612581547535448,"loser","loser",0.645956811698559,2.32912860173255,-18.4419576489024,-5.89864867162898
"Burgenland (AT)","AT11","Austria","AT",2001,0.0897205526496181,0.0682283976527385,0.105056738821228,0.854019967270192,0.649443323848467,"loser","loser",22517775.2579819,32820789.4642359,19088226.2414768,0.847695921234961,0.581589491083899,"loser","loser",0.496534589227558,5.21223534058247,-20.8608212165673,-6.74762338685323
"Burgenland (AT)","AT11","Austria","AT",2009,0.103615171842251,0.0512738740983618,0.0531196388631461,1.95060008049373,0.96525268611973,"winner","loser",26668053.2458765,36194883.6552079,19863666.1769107,0.744848751941879,0.548797624717675,"loser","loser",0.858665135680907,5.21852357339687,-20.959685367599,-5.5809939586744
"Burgenland (AT)","AT11","Austria","AT",1985,0.106376938382237,0.140833752713394,0.127872159834369,0.831900693004842,1.10136368147542,"loser","winner",27804748.4265777,46524192.8740305,30170888.8508333,1.08509842951839,0.64849892039018,"winner","loser",0.775831261280425,3.12931800946762,-16.7851351243905,-10.1309860372087
"Burgenland (AT)","AT11","Austria","AT",1993,0.167135860520517,0.0524836379860971,0.114824105003546,1.45558165260992,0.457078572347471,"winner","loser",24810101.620488,32357604.5720199,19118303.3713229,0.770585451997308,0.59084421186897,"loser","loser",0.599106244422018,5.50202812588668,-12.788594522779,-8.26383677480764
"Niederösterreich","AT12","Austria","AT",1985,0.106376938382237,0.140833752713394,0.128960226523021,0.824881758122904,1.09207122622612,"loser","winner",27804748.4265777,46524192.8740305,37375552.4097992,1.34421473039019,0.803357352399378,"winner","loser",0.641516152100474,3.74501304627233,-15.7246419942497,-12.6980671479473
"Niederösterreich","AT12","Austria","AT",1977,0.0852582205286038,0.106572216205387,0.0864163514481952,0.986598243270133,1.23324133013501,"loser","winner",30549150.9735981,48410268.0101112,35318947.5855445,1.15613516120525,0.729575543315884,"winner","loser",0.587105528710364,2.77886617230546,-15.8431107940642,-6.8183479210474
"Niederösterreich","AT12","Austria","AT",2001,0.0897205526496181,0.0682283976527385,0.0933657293495875,0.960958086812338,0.730764897656101,"loser","loser",22517775.2579819,32820789.4642359,26383728.6610193,1.17168451850797,0.803872456808787,"winner","loser",0.411228185680256,5.24938460693655,-21.8264080146229,-5.77707275295257
"Niederösterreich","AT12","Austria","AT",2009,0.103615171842251,0.0512738740983618,0.0730555814215907,1.41830603255768,0.701847457793395,"winner","loser",26668053.2458765,36194883.6552079,29767543.9839837,1.11622485936751,0.822424082573356,"winner","loser",0.480128457182199,5.60746072392503,-17.3638360462886,-5.49454974171239
"Niederösterreich","AT12","Austria","AT",1993,0.167135860520517,0.0524836379860971,0.0717791345627413,2.32847416646443,0.731182373621707,"winner","loser",24810101.620488,32357604.5720199,26690833.7458994,1.07580509560905,0.824870508769963,"winner","loser",0.608582960767784,5.64581007236964,-11.3452317846062,-8.36445268808187
"Wien","AT13","Austria","AT",1985,0.106376938382237,0.140833752713394,0.190242082078176,0.55916618037498,0.740287065695175,"loser","loser",27804748.4265777,46524192.8740305,19181286.5262047,0.689856503354294,0.41228628249694,"loser","loser",0.45077435657754,2.95616714892637,-14.9906315328408,-12.4542119772498
"Wien","AT13","Austria","AT",1977,0.0852582205286038,0.106572216205387,0.118003992655521,0.722502845962942,0.903123816466912,"loser","loser",30549150.9735981,48410268.0101112,18453116.5413534,0.604046788642387,0.381181871116664,"loser","loser",0.500251897263237,2.19674947724302,-15.7371317254813,-6.12712311998112
"Wien","AT13","Austria","AT",1993,0.167135860520517,0.0524836379860971,0.140236455921876,1.19181463494504,0.37425102938522,"winner","loser",24810101.620488,32357604.5720199,17640422.5553512,0.711017746931914,0.54517084279487,"loser","loser",0.562846409033317,3.76305355938646,-11.7584639155786,-9.53699922368634
"Wien","AT13","Austria","AT",2009,0.103615171842251,0.0512738740983618,0.140686545955855,0.736496664540783,0.364454708515274,"loser","loser",26668053.2458765,36194883.6552079,19783931.2076492,0.741858846059873,0.546594689904538,"loser","loser",0.573351575443825,3.96840586987956,-17.3790470624997,-4.88631151045029
"Wien","AT13","Austria","AT",2001,0.0897205526496181,0.0682283976527385,0.142941266224881,0.627674254042678,0.477317708557295,"loser","loser",22517775.2579819,32820789.4642359,17721503.394925,0.787000633583605,0.53994750535284,"loser","loser",0.587300047029,3.60665487834937,-21.6856298389746,-4.8902581971801
