"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"AFG",1968,9.83522735307393,49.6290810427127,49.1420457673994,3925177.92439881,6197132.87226067,6209584.1318257,3800640,702792159.9,698991519.9,4.59749378074353,0.00265270340945882,6.333,-15.7364752126081,-4.44135947929578
"AFG",1978,68.6496413552779,43.0110697094137,42.8569252655656,4252483.93591818,7714440.00602368,7729301.57027913,3211320,740980575.5,737769255.5,4.9108120540898,0.00522225396194545,6.756,-31.9071459584322,-5.83911381552122
"AFG",1988,18.8577268630971,43.9654958148912,43.9964631295448,3894163.59799225,9006172.40511475,9026606.91906815,2858300.7,724174156.4,721315855.7,4.57276475451108,0.00347921032036556,8.107,-33.5500418657753,-8.79636746270624
"AFG",1998,6.33387380109897,53.2872454751671,53.2151004844125,4551673.77235311,10131073.8930728,10153558.0196986,3085547.5,762451493.9,759365946.4,4.10257226095782,0.00202699094734158,8.469,-24.4725033253805,-6.06757586731082
"AFG",2008,10.8749939085584,70.0041115646573,69.623916208534,5983773.79426636,11938053.2591462,11962837.6591895,3435248.5,824145797.8,820710549.3,4.11944141399767,0.00567441246001947,8.46,-34.4396693936417,-1.60634003423781
"ALB",1968,20.0518399357369,45.4108802302888,45.3933658029813,5410603.62424032,6095815.61883564,6096263.47140718,493398.6,747117974.1,746624575.5,9.24852362455093,0.0514330958036421,26.294,-36.3868101117669,-6.88027778340914
"ALB",1978,17.2665450272432,41.3769211294689,41.3658335884456,7481583.47108715,7511849.21620565,7511869.59038422,538144,778330080.4,777791936.4,9.28711618151299,0.101639807746678,34.547,-35.4423731004615,-6.77309426123288
"ALB",1988,9.15062571020621,36.0623736234848,36.0363303917241,6920347.33017088,8439792.57657433,8440642.90816377,386413.8,623214995.2,622828581.4,7.84857587257911,0.0436709759909078,33.154,-28.2160249027633,-8.81033731062804
"ALB",1998,31.6866932485531,49.9733856723017,49.9598920834532,8216901.79133964,9486738.35989673,9487285.30929511,285000.4,676100313.6,675815313.2,11.4439862092888,0.0370012005751258,31.082,-35.4255723275901,-11.3358952011203
"ALB",2008,21.1623867145142,47.4960329156592,47.4524442031979,11431552.3488537,10902663.894686,10902470.9708943,285922.1,777603473.1,777317551,14.4343811955388,0.0497017288914417,28.79,-32.9882643386067,-4.62749173527638
"DZA",1968,6.04752928680905,45.9644159202018,45.644875227878,2099458.83396749,6016881.14600763,6036583.70602154,3812588,759388128.6,755575540.6,4.44898549695452,0.00735332839513075,0.545,-38.1093205991534,-5.35162551535614
"DZA",1978,7.22994706102963,41.8644530233772,41.7683739399016,2204236.84160867,7190361.66441608,7213517.68035186,3696984.2,796768721.6,793071737.4,6.43104473586111,0.00995251813913786,0.724,-32.4282347886512,-4.6243997776535
"DZA",1988,5.5300080065879,42.7510864880048,42.5452071795727,2926607.22150309,8405205.97939551,8428693.85743548,3357578.4,771088910.2,767731331.8,7.80628536153991,0.00568555111942184,1.277,-27.4967690422398,-7.15203948166083
"DZA",1998,9.78286164771433,50.2730271877842,49.6936195802623,3842827.91336757,9198504.36135189,9221487.90979717,3698405.3,862108914.2,858410508.9,8.49242397307986,0.00502414686913959,1.873,-42.5171852695326,-6.49649945340913
"DZA",2008,7.10910798029056,66.0217058498979,66.3905203841177,4912812.76453273,10800763.3338965,10828475.7462083,4437333.8,943247709.1,938810375.3,9.42883851987682,0.0071708995547949,2.97333333333333,-48.0704234965382,-7.97214570818441
"AGO",1968,23.759435187187,57.7322361728401,57.7027207433638,2623460.47027435,6019264.62698612,6028952.27605943,1934788.6,677092361.2,675157572.6,7.66011739791815,0.00205241460541814,0.133,-72.1523685220249,-13.9745495168644
"AGO",1978,26.7376889726366,44.6451997912176,44.6192049326679,2311381.80689522,7583862.25205611,7596100.26755691,1638660,710197147.4,708558487.4,7.16592916992245,0.00192085294117647,0.14,-72.0338730342334,-14.9979174008722
"AGO",1988,11.7490500443009,49.7442174542309,49.836730308753,2588266.36665952,8903468.03251728,8919541.2590448,1807366.2,714068153.9,712260787.7,6.26511408706711,0.000932092352092352,0.14,-74.5217258362083,-10.2774311868078
"AGO",1998,15.7131853101485,57.7075719081597,57.2134019787236,4454902.45215721,10105129.5669288,10124155.4878515,2579590.6,767180953.2,764601362.6,6.90195024249425,0.000962736119061248,0.145,-61.831355832928,-10.8694509918138
