"Country","Continent","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec","sdTemp","sdPrec"
"AFG","Asia",1968,9.83522735307393,49.6290810427127,49.1420457673994,3925177.92439881,6197132.87226067,6209584.1318257,3800640,702792159.9,698991519.9,4.59749378074353,0.00265270340945882,6.333,-15.652431189755,-5.16840232996254,28.261965825961,1.11639781384009
"AFG","Asia",1978,68.6496413552779,43.0110697094137,42.8569252655656,4252483.93591818,7714440.00602368,7729301.57027913,3211320,740980575.5,737769255.5,4.9108120540898,0.00522225396194545,6.756,-31.2956203053876,-6.41320655972597,27.6555191378382,1.22751222254313
"AFG","Asia",1988,18.8577268630971,43.9654958148912,43.9964631295448,3894163.59799225,9006172.40511475,9026606.91906815,2858300.7,724174156.4,721315855.7,4.57276475451108,0.00347921032036556,8.107,-29.9874804573024,-10.5049454596771,28.7750341829071,1.31649768628691
"AFG","Asia",1998,6.33387380109897,53.2872454751671,53.2151004844125,4551673.77235311,10131073.8930728,10153558.0196986,3085547.5,762451493.9,759365946.4,4.10257226095782,0.00202699094734158,8.469,-25.7089859041327,-6.75292847611895,28.5004389127044,1.37858523052297
"AFG","Asia",2008,10.8749939085584,70.0041115646573,69.623916208534,5983773.79426636,11938053.2591462,11962837.6591895,3435248.5,824145797.8,820710549.3,4.11944141399767,0.00567441246001947,8.46,-33.1919450043752,-1.71672111399449,27.7103047491699,29.8812954426104
"AGO","Africa",1968,23.759435187187,57.7322361728401,57.7027207433638,2623460.47027435,6019264.62698612,6028952.27605943,1934788.6,677092361.2,675157572.6,7.66011739791815,0.00205241460541814,0.133,-69.2563267114504,-14.5634806468271,3.52921190464921,6.21954157532974
"AGO","Africa",1978,26.7376889726366,44.6451997912176,44.6192049326679,2311381.80689522,7583862.25205611,7596100.26755691,1638660,710197147.4,708558487.4,7.16592916992245,0.00192085294117647,0.14,-72.7068109565238,-14.9476942410051,3.39869108863883,7.47870100962921
"AGO","Africa",1988,11.7490500443009,49.7442174542309,49.836730308753,2588266.36665952,8903468.03251728,8919541.2590448,1807366.2,714068153.9,712260787.7,6.26511408706711,0.000932092352092352,0.14,-68.3104640319717,-9.03701103440428,3.55123672172686,7.90103004996752
"AGO","Africa",1998,15.7131853101485,57.7075719081597,57.2134019787236,4454902.45215721,10105129.5669288,10124155.4878515,2579590.6,767180953.2,764601362.6,6.90195024249425,0.000962736119061248,0.145,-60.7829162997624,-9.45156566414701,3.41508688792786,6.44846352966726
"AGO","Africa",2008,17.7149031907853,77.8050693024653,77.3178448427561,5255087.92936933,11183633.9468718,11211474.4205675,4664243.4,1007341003.8,1002676760.4,8.43891002473165,0.0039902962962963,0.15,-40.0556462680181,-6.96233339046978,3.06461281085418,7.17445569873079
"ALB","Europe",1968,20.0518399357369,45.4108802302888,45.3933658029813,5410603.62424032,6095815.61883564,6096263.47140718,493398.6,747117974.1,746624575.5,9.24852362455093,0.0514330958036421,26.294,-43.194065600386,-6.67469552330983,4.8564878270164,12.4048244970089
"ALB","Europe",1978,17.2665450272432,41.3769211294689,41.3658335884456,7481583.47108715,7511849.21620565,7511869.59038422,538144,778330080.4,777791936.4,9.28711618151299,0.101639807746678,34.547,-35.1705914069446,-7.24559347266833,4.84451451062121,9.22565017463091
"ALB","Europe",1988,9.15062571020621,36.0623736234848,36.0363303917241,6920347.33017088,8439792.57657433,8440642.90816377,386413.8,623214995.2,622828581.4,7.84857587257911,0.0436709759909078,33.154,-25.477761818768,-8.58857800535612,5.06993182899144,8.66055791440536
"ALB","Europe",1998,31.6866932485531,49.9733856723017,49.9598920834532,8216901.79133964,9486738.35989673,9487285.30929511,285000.4,676100313.6,675815313.2,11.4439862092888,0.0370012005751258,31.082,-33.636537715638,-11.3630925750743,5.39129342418309,8.43264000698639
"ALB","Europe",2008,21.1623867145142,47.4960329156592,47.4524442031979,11431552.3488537,10902663.894686,10902470.9708943,285922.1,777603473.1,777317551,14.4343811955388,0.0497017288914417,28.79,-46.2957049390076,-5.56215443401594,5.13610438595431,7.73038755407565
"ARG","Americas",1968,15.5858562484033,52.1623968826407,52.0286389855634,5797198.16404902,5797644.39064838,5797831.87217139,15725131.1,912493172.2,896768041.1,9.52386364521021,0.00148033780419785,1.047,-54.9033835538997,-11.4186644387937,4.38163017808351,3.44457795438591
"ARG","Americas",1978,13.928421176991,44.5235168445459,45.4009398399898,7139743.86615352,7119596.83530925,7118974.07983511,18670979.9,961458137.6,942787157.7,9.38828059826317,0.00265411158860541,1.13,-53.4588032745457,-14.833012062409,4.24493636598308,3.72023573453587
"ARG","Americas",1988,15.0616572401241,45.5822240642645,43.6615380124021,7636713.6611871,8115064.01085876,8124922.52331171,19472895.9,974055037.9,954582142,8.94184053924842,0.00824545408862822,1.183,-49.816909085153,-7.82965582962526,4.38783221610289,3.8367577785632
"ARG","Americas",1998,17.6716889503711,58.8865473197377,56.842735712177,9717953.38195978,9117881.46905691,9101992.59536078,26594813.8,1039357846.5,1012763032.7,6.33272914621859,0.020380202204173,1.27,-49.6094961196123,-7.40083040108696,4.52242316170894,3.98429258147961
"ARG","Americas",2008,10.7356214550971,69.648519949101,71.693296608383,11035694.2096865,10607818.9320179,10594109.3298321,33381418.1,1149919050.8,1116537632.7,5.42325902186264,0.0195723510831245,1.55333333333333,-63.7086059042275,-5.93844780756235,4.62228435973876,4.78415416712065
"ARM","Asia",1998,8.16387067819047,41.2188625735677,41.2343646967745,6128982.58769335,10269189.8340642,10271384.7858676,287636.4,540393739.6,540106103.2,7.85913120556251,0.0326301590497282,18.871,-10.2992683390507,-8.25422763734333,10.8430325360684,0.741149289397662
"ARM","Asia",2008,8.35920919963352,46.4313495336419,46.4276613922172,8337286.35053733,12026552.2550608,12028414.2170643,304467.2,598143739.8,597839272.6,10.9289866970185,0.117749593463689,16.0922222222222,-10.8180400167494,-2.40367301032573,11.3238256295576,6.59878130489688
"AUS","Oceania",1968,8.37504028771996,51.6547786654556,51.1699460441872,4537218.12058811,5763523.54863699,5782149.98696047,13421690.9,903075223.7,889653532.8,3.80923547774811,0.00970487751473364,0.303,-58.4789039778925,-5.74119144013203,5.01562858817055,3.72635668598329
"AUS","Oceania",1978,6.39681138487058,44.2982970106983,44.2768274570302,5085322.51334255,7077578.45956572,7115336.92224115,17785539.8,952490914.9,934705375.1,4.0516916628345,0.0148916016079716,0.342,-49.9763614244813,-5.79395792088231,5.15191141126462,2.9812484190028
"AUS","Oceania",1988,8.90011948595134,44.7170937594141,44.2568257243198,6198642.03325204,8054828.3632775,8087868.68495306,16999954.5,963129849.7,946129895.2,6.01777155778231,0.0317201013851524,0.455,-55.4028726406792,-6.70153257378561,5.30958700038793,3.05925011322916
"AUS","Oceania",1998,5.27834255029413,57.2140639964495,58.5491436289784,6295123.29934125,9042782.22075706,9104140.74110615,22773208,1030435111.8,1007661903.8,5.99198304513999,0.0400918494000828,0.557,-98.5101229696526,-5.85640979598926,5.22028567587066,2.89208432611405
"AUS","Oceania",2008,11.7271337280006,68.5661619788957,65.0496086290569,6799369.111704,10521420.7505643,10603073.7980712,24360869.4,1136760434,1112399564.6,5.72601105995652,0.0357619997254688,0.642222222222222,-52.4923927077791,-6.3378830038804,5.07560666390918,3.48421943455151
