"Region","Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec","sdTemp","sdPrec"
"AT32","AUT",1978,23.1834857830705,13.7644483638064,13.7619068810145,11881.7590678772,12456.9677395002,12457.0744266883,2210,11640180,11637970,1.74446141671572,0.097097952196792,0.84,-8.65594290671734,-8.00307279666077,6.67360899134317,4.9750807241669
"AT22","AUT",1978,15.2083644703597,18.7281786201603,18.71748382357,13456.3634234429,14737.5306487811,14740.0955182248,27810,13706530,13678720,1.60850894032522,0.097097952196792,0.84,-16.0679564993605,-9.01782151390332,5.46190994362182,2.52253220215868
"AT31","AUT",1978,10.7642570518271,18.7281786201603,18.7123282602362,16081.7043187739,14737.5306487811,14730.6699754465,68420,13706530,13638110,2.04091657327652,0.097097952196792,0.84,-16.0312043170735,-8.36576955681853,0.537327012107503,3.07681586389292
"AT34","AUT",1978,8.11969532777669,13.7644483638064,13.7636355486127,13732.35,12456.9677395002,12456.9312776503,330,11640180,11639850,1.90791843029463,0.097097952196792,0.84,-9.74233913072767,-10.5629622313778,4.85407205656021,4.34087163456602
"AT33","AUT",1978,32.368811753778,13.7644483638064,13.7601944200154,14960.4179211038,12456.9677395002,12456.3050396808,3130,11640180,11637050,1.9728116648736,0.097097952196792,0.84,-9.71366333590465,-9.0167568891989,7.94204949799856,7.34854555007214
"AT11","AUT",1978,9.39895003173388,18.7281786201603,18.7536237690469,15039.9737349677,14737.5306487811,14736.4215060815,52480,13706530,13654050,1.80528694488355,0.097097952196792,0.84,-17.0772619705854,-7.00211141141018,0.221187888880845,0.417584492605682
"AT12","AUT",1978,11.0748867232616,18.7281786201603,18.7324138874968,16837.1254345524,14737.5306487811,14696.5076908627,265900,13706530,13440630,2.12576050450623,0.097097952196792,0.84,-14.204726263473,-7.13505744251244,0.998181339816273,1.01734418058224
"AT21","AUT",1978,19.8129309073253,13.7644483638064,13.7471466328059,12933.1022739589,12456.9677395002,12456.1857825196,18470,11640180,11621710,1.51427289001824,0.097097952196792,0.84,-14.7825879845798,-8.68855567804934,2.04002973176149,5.87746532801115
"AT11","AUT",1988,14.4787665849167,18.1079137084365,18.003404127944,16033.7020041312,14935.634043589,14931.4701078646,52400,14317720,14265320,3.02523851334022,0.0853992294406802,2.73,-12.7981805373105,-8.63328734080378,0.227811055263726,0.318564495031039
"AT12","AUT",1988,26.8772655699938,18.1079137084365,17.7721584592271,17926.7446838363,14935.634043589,14879.3137300542,266120,14317720,14051600,3.48211562991885,0.0853992294406802,2.73,-9.96220019881591,-9.96971793017141,1.29467766188769,1.41814259712085
"AT33","AUT",1988,22.5156842745533,15.5723933027292,15.5701437311155,15259.5352577374,14000.6410411656,14000.375975258,1840,9474120,9472280,1.97444331469086,0.0853992294406802,2.73,-9.27234214577141,-13.654201750143,7.74058900234578,6.94692479613712
"AT31","AUT",1988,13.8572838200224,18.1079137084365,17.9672939920122,18079.6572208295,14935.634043589,14919.6595457123,72080,14317720,14245640,2.50199035001223,0.0853992294406802,2.73,-12.2745773743049,-12.0109134779599,0.640448392340408,4.37591716332326
"AT21","AUT",1988,13.9741541848312,13.8439554563801,13.8342283845753,13763.0160691897,12457.2043145459,12455.8160889843,13450,13069510,13056060,1.49020499195869,0.0853992294406802,2.73,-11.5151398897028,-13.9685754821735,2.52402774268959,4.27439535381146
"AT34","AUT",1988,6.62212444294175,15.5723933027292,15.5716229777168,15574.1666666667,14000.6410411656,14000.60993084,210,9474120,9473910,1.98898815748423,0.0853992294406802,2.73,-6.51593818805437,-10.1261304113982,4.02988633874085,4.23449995379303
"AT32","AUT",1988,15.2074859606414,15.5723933027292,15.5705655079061,13086.8232223659,14000.6410411656,14000.7871399402,1540,9474120,9472580,1.618499661431,0.0853992294406802,2.73,-7.57593003929601,-14.0599219165848,7.33455782510013,6.04116650183078
"AT22","AUT",1988,12.6802409408791,22.8946661651607,22.8591548840863,14933.4768658422,16849.9759481063,16853.5577905394,23880,12090580,12066700,1.5757344601721,0.0853992294406802,2.73,-10.9165821516084,-15.6970003403083,6.07273950901891,3.90522397138923
"AT33","AUT",1998,10.2113017088566,17.3640319681449,17.3636189991575,14503.3541125541,17568.2510524263,17568.3885542513,1090,24366807,24365717,2.83242049761016,0.0916921325650196,3.497,-12.0113817951124,-7.65730715159894,7.95055049898022,9.74262946747865
"AT21","AUT",1998,13.3403974435887,16.9535443320314,16.9473450940769,13610.2577261265,16427.8117880889,16429.3409594232,14740,26956414,26941674,3.01454152556505,0.0916921325650196,3.497,-13.9859646519991,-9.53771313939459,2.68496099166147,4.51624266425418
"AT31","AUT",1998,15.3959159603221,17.4137919961132,17.3856873527305,19522.8738141799,17405.7715010811,17398.1679162977,115240,32297343,32182103,3.81405583145828,0.0916921325650196,3.497,-19.2362009851173,-7.88931449668331,0.777430146353095,3.79498331421601
"AT11","AUT",1998,9.28912346192164,17.3763718492802,17.3937184990376,14637.863508185,17035.532999765,17041.8045910137,88610,33946931,33858321,4.82043764075533,0.0916921325650196,3.497,-18.6895297840987,-8.13448765023378,0.415655052474377,0.319135717071177
"AT32","AUT",1998,8.6925583246212,17.3640319681449,17.364028707756,13509.0756105006,17568.2510524263,17568.444695812,1100,24366807,24365707,2.39422948594833,0.0916921325650196,3.497,-9.68740956289279,-14.5297209918786,7.26160756479083,5.54519448774845
"AT12","AUT",1998,10.3057878083563,17.3763718492802,17.4672679928902,17546.8520976338,17035.532999765,17029.3116504738,407720,33946931,33539211,4.6012559942074,0.0916921325650196,3.497,-18.219348544129,-6.78426458487434,1.51880664119641,1.338216064591
"AT22","AUT",1998,11.0077274615349,17.5683837788802,17.5572710963696,15901.3822201751,18319.0448529918,18321.0451729017,24400,30007235,29982835,2.96607300063967,0.0916921325650196,3.497,-15.2956015638336,-10.9471950500091,6.43729740522454,3.64634084429561
"AT12","AUT",2008,7.99664901024556,20.1344666907762,20.215465280286,19549.8298183007,17578.7425609538,17543.0215151636,388399,21855716,21467317,4.87356342746578,0.0717711103723404,4.15555555555556,-14.7247569062423,-6.28478460050169,1.57650487054434,1.27082255193239
"AT22","AUT",2008,10.359627782406,19.9946819399966,19.9865121606915,18105.3806939365,17740.8468756324,17740.5010808362,21027,21370979,21349952,3.59824881381257,0.0717711103723404,4.15555555555556,-17.3168028074059,-7.74957654495875,6.48133321518198,3.05010692287181
"AT21","AUT",2008,16.4800128012229,18.2350514561118,18.2285888030968,15500.7053017572,16492.9374869705,16493.5590266067,12724,20517754,20505030,3.44257555036951,0.0717711103723404,4.15555555555556,-16.5878999392747,-7.94196018645853,2.59082766867591,5.25866066595114
"AT11","AUT",2008,10.6134639474852,20.1344666907762,20.1266227431577,14925.1501108163,17578.7425609538,17589.8296814778,90548,21855716,21765168,4.74811687147999,0.0717711103723404,4.15555555555556,-19.0416072787934,-6.2740898455625,0.336514841812572,0.400379331194799
"AT32","AUT",2008,7.24713645526138,20.4777576037803,20.478411091111,15612.9000496502,18034.7047234931,18034.8496301134,891,15374726,15373835,2.47807125961017,0.0717711103723404,4.15555555555556,-9.4706508706112,-10.8204142690936,6.6846422414285,4.45438172030872
"AT31","AUT",2008,14.0046994749344,19.9946819399966,19.9275145199387,21526.4329510556,17740.8468756324,17718.4507164731,125365,21370979,21245614,4.05155145332871,0.0717711103723404,4.15555555555556,-15.4494953807343,-7.7837153095745,0.701189179528006,3.54020599762974
"AT33","AUT",2008,16.5631789502472,20.4777576037803,20.4772755834247,16903.4313413877,18034.7047234931,18034.7633187565,764,15374726,15373962,2.69348189711872,0.0717711103723404,4.15555555555556,-11.9002837760543,-10.7405838010618,8.1210375362236,7.88725332045014
"BE32","BEL",2008,3.3957089601531,20.8940463238144,21.2297728983873,35059.518419806,19452.2898856099,19374.000908766,47328,9402294,9354966,3.21869877417671,0.19472926966754,1.57666666666667,-15.3082064948611,-10.1845274291209,0.376330510893035,0.178075613565747
"BE24","BEL",2008,10.2914649407958,25.6634093094572,25.7172588812892,38577.1843692961,21616.7639134044,21573.8846106645,15722,6240403,6224681,2.99179738194851,0.19472926966754,1.57666666666667,-15.8864960748807,-7.08551030110013,0.0938929470257146,0.936443536421872
"BE33","BEL",2008,10.6675918460944,20.8940463238144,20.8850859402852,41148.7910644564,19452.2898856099,19406.6938772197,19702,9402294,9382592,3.54969825587672,0.19472926966754,1.57666666666667,-14.3840777695919,-9.3588477553805,0.864817201062896,0.921488245921044
"BE23","BEL",2008,12.2669007318798,25.6634093094572,25.690424398834,34035.1838296219,21616.7639134044,21584.6799830357,16261,6240403,6224142,2.37968212042442,0.19472926966754,1.57666666666667,-15.4573302264628,-11.2609898687037,0.0375555775490736,0.261777952949898
"BE21","BEL",2008,5.17457253304478,24.7143765523107,25.192073874292,30497.8940317479,27358.7859487614,27338.9665065676,3855,581331,577476,1,0.19472926966754,1.57666666666667,-15.7514384262398,-12.1984003029357,0.0410499874300526,0.0334446601784633
"BE34","BEL",2008,9.09057068604151,25.3005076187803,25.3160407398862,18892.5174437393,16251.914653158,16250.6746335455,2453,4805847,4803394,1,0.19472926966754,1.57666666666667,-13.0770951672899,-9.41428988917759,0.425208399857818,1.16950486769294
