"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"AFG",1968,9.83522735307393,49.6192375381506,49.1323612202059,3925177.92439881,6195396.29104954,6207840.43435031,3800640,702661976.5,698861336.5,4.59749378074353,0.00265270340945882,6.333,-36.2950128137385,-5.48440535677651
"AFG",1978,68.6496413552779,43.0371771498401,42.8828179303437,4252483.93591818,7713200.38928959,7728059.08435789,3211320,740849267.2,737637947.2,4.9108120540898,0.00522225396194545,6.756,-69.3654736812449,-6.71157857604307
"AFG",1988,18.8577268630971,43.9514709595067,43.9824764187509,3894163.59799225,9005140.06843468,9025574.50377662,2858300.7,724035243.6,721176942.9,4.57276475451108,0.00347921032036556,8.107,-35.9754609014177,-5.77240305103876
"AFG",1998,6.33387380109897,53.2796186954954,53.2075739396291,4551673.77235311,10130572.6333145,10153058.3719158,3085547.5,762329735.3,759244187.8,4.10257226095782,0.00202699094734158,8.469,-41.4308547539064,-5.82428868418337
"AFG",2008,10.8749939085584,70.0151985773696,69.6349824268293,5983773.79426636,11938126.628728,11962914.2048109,3435248.5,824050596.4,820615347.9,4.11944141399767,0.00567441246001947,8.46,-63.5377941060359,-1.30242665018986
"ALB",1968,20.0518399357369,45.4096453284502,45.3921302554618,5410603.62424032,6095848.31728542,6096296.20297774,493398.6,747098297.9,746604899.3,9.24852362455093,0.0514330958036421,26.294,-41.3610214448971,-6.28970641533861
"ALB",1978,17.2665450272432,41.3769781011066,41.3658907567195,7481583.47108715,7511916.40166114,7511936.8227433,538144,778309836.4,777771692.4,9.28711618151299,0.101639807746678,34.547,-31.8315221780001,-5.35788672675324
"ALB",1988,9.15062571020621,36.0626053643508,36.0365630073634,6920347.33017088,8439934.38041159,8440784.82170764,386413.8,623197189.6,622810775.8,7.84857587257911,0.0436709759909078,33.154,-26.9938124936792,-9.68637806731613
"ALB",1998,31.6866932485531,49.9747818549677,49.9612874825192,8216901.79133964,9487004.66358063,9487551.75084662,285000.4,676069955.2,675784954.8,11.4439862092888,0.0370012005751258,31.082,-35.913043402259,-11.365342684646
"ALB",2008,21.1623867145142,47.4954430714799,47.4518591022951,11431552.3488537,10903066.9154395,10902874.1290256,285922.1,777562826.9,777276904.8,14.4343811955388,0.0497017288914417,28.79,-30.084282239309,-4.93234661945139
"DZA",1968,6.04752928680905,45.9625623321873,45.6430380419006,2099458.83396749,6016968.42689029,6036672.28906712,3812588,759354937.9,755542349.9,4.44898549695452,0.00735332839513075,0.545,-41.8091636457044,-5.14234409543538
"DZA",1978,7.22994706102963,41.8639647919885,41.767884593233,2204236.84160867,7190520.70835713,7213678.5988565,3696984.2,796729986.6,793033002.4,6.43104473586111,0.00995251813913786,0.724,-26.1253501314754,-4.40574012410969
