"","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value"
"(Intercept)","3.08875 (3.66407)",0.84298,"0.39958","18.90668 (7.43525)",2.54284,"0.01142","2.73175 (6.29159)",0.43419,"0.66417"
"Diversity","0.03008 (0.00705)",4.26814,"<0.0001","0.08342 (0.02783)",2.99783,"0.00291","0.04305 (0.0065)",6.62255,"<0.0001"
"sqrt(Fertilizer)","0.7263 (0.28711)",2.52965,"0.01168","0.31175 (0.57977)",0.53771,"0.59112","0.01922 (0.00244)",7.88733,"<0.0001"
"sqrt(Irigation)","0.07188 (0.01756)",4.092,"<0.0001","-0.04882 (0.03312)",-1.47381,"0.14142","-0.05681 (0.0099)",-5.73642,"<0.0001"
"Temperature instability","-0.00705 (7e-04)",-10.03252,"<0.0001","0.00313 (0.00337)",0.93022,"0.35289","-0.021 (0.0025)",-8.41071,"<0.0001"
"Precipitation instability","-0.05557 (0.00641)",-8.67576,"<0.0001","-0.02511 (0.01512)",-1.66009,"0.09778","-0.02589 (0.00364)",-7.11236,"<0.0001"
"Time","-0.00088 (0.00185)",-0.47495,"0.635","-0.00867 (0.00373)",-2.32226,"0.02079","-0.00075 (0.00312)",-0.23869,"0.81136"
"R2","0.32981",NA,NA,"0.08154",NA,NA,"0.05112",NA,NA
"AIC","1110.63126",NA,NA,"658.0718",NA,NA,"8622.37924",NA,NA
"(Intercept)1","-1.0799 (0.33422)",-3.23109,"0.00123","20.96211 (0.31968)",65.57239,"<0.0001","-30.68086 (0.25316)",-121.19374,"<0.0001"
"Area harvested","0.00068 (1e-05)",89.91594,"<0.0001","0.0044 (0.00012)",37.26698,"<0.0001","0.84259 (0.00728)",115.80237,"<0.0001"
"Time1","0.00229 (0.00017)",13.56299,"<0.0001","-0.00925 (0.00016)",-57.47501,"<0.0001","0.01662 (0.00013)",131.41076,"<0.0001"
"R21","0.24268",NA,NA,"0.10493",NA,NA,"0.26286",NA,NA
"AIC1","28456.02658",NA,NA,"3806.23667",NA,NA,"-40996.41707",NA,NA
