"","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value"
"(Intercept)","77.58 (56.29)",1.38,"0.17","97.33 (51.76)",1.88,"0.06","3.13 (0.33)",9.47,"<0.0001"
"Diversity","0.46 (0.1)",4.43,"<0.0001","1.19 (0.24)",4.96,"<0.0001","0.92 (0.05)",18.22,"<0.0001"
"sqrt(Fertilizer)","11.57 (4.46)",2.59,"0.01","33.74 (4.4)",7.66,"<0.0001","0.19 (0.02)",10.44,"<0.0001"
"sqrt(Irigation)","1.17 (0.27)",4.3,"<0.0001","-0.3 (0.25)",-1.19,"0.23","0.12 (0.07)",1.66,"0.1"
"Temperature instability","-0.09 (0.01)",-8.12,"<0.0001","-0.03 (0.03)",-1.05,"0.29","-0.09 (0.01)",-9.74,"<0.0001"
"Precipitation instability","-0.77 (0.1)",-7.53,"<0.0001","-0.1 (0.11)",-0.84,"0.4",NA,NA,NA
"Time","-0.04 (0.03)",-1.42,"0.16","-0.05 (0.03)",-1.94,"0.05",NA,NA,NA
"R2","0.28",NA,NA,"0.3",NA,NA,"0.09",NA,NA
"AIC","4128.77",NA,NA,"2002.9",NA,NA,"34382.2",NA,NA
"(Intercept)1","-479.68 (11.96)",-40.1,"<0.0001","-130.02 (4.32)",-30.12,"<0.0001","-129.93 (4.46)",-29.1,"<0.0001"
"Area harvested","0.03 (0)",80.36,"<0.0001","0.14 (0.02)",6.64,"<0.0001","15.17 (0.25)",60.42,"<0.0001"
"Time1","0.26 (0.01)",42.68,"<0.0001","0.07 (0)",34.05,"<0.0001","0.07 (0)",32.09,"<0.0001"
"R21","0.25",NA,NA,"0.07",NA,NA,"0.09",NA,NA
"AIC1","227978.33",NA,NA,"95820.69",NA,NA,"278757.63",NA,NA
