"Name","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value"
"(Intercept)","2.8 (0.03)",110.53,"<0.0001","2.38 (0.02)",101.55,"<0.0001","2.19 (0.01)",344.02,"<0.0001"
"Diversity","0.12 (0.03)",4.63,"<0.0001","0.15 (0.02)",6.09,"<0.0001","0.13 (0.01)",17.07,"<0.0001"
"sqrt(Fertilizer)","0.1 (0.03)",3.13,"0","0.3 (0.02)",11.91,"<0.0001","0.07 (0.01)",9.82,"<0.0001"
"sqrt(Irigation)","0.1 (0.03)",3.17,"0",NA,NA,NA,"0.03 (0.01)",3.72,"0"
"log(Area harvested)",NA,NA,NA,NA,NA,NA,"-0.03 (0.01)",-3.04,"0"
"Temperature instability","-0.27 (0.03)",-9.4,"<0.0001",NA,NA,NA,"-0.04 (0.01)",-5.02,"<0.0001"
"Precipitation instability","-0.22 (0.03)",-7.95,"<0.0001","-0.09 (0.03)",-3.38,"0","-0.05 (0.01)",-6.76,"<0.0001"
"Time",NA,NA,NA,NA,NA,NA,"-0.06 (0.01)",-7.46,"<0.0001"
"AIC","1114.35",NA,NA,"399.27",NA,NA,"9499",NA,NA
"R2","0.33",NA,NA,"0.37",NA,NA,"0.09",NA,NA
"(Intercept)","-1.1 (0.03)",-42.73,"<0.0001","-0.52 (0.02)",-21.5,"<0.0001","-0.49 (0.01)",-74.98,"<0.0001"
"Diversity","0.11 (0.03)",3.86,"0","0.15 (0.03)",5.25,"<0.0001","0.12 (0.01)",17.78,"<0.0001"
"sqrt(Fertilizer)","0.2 (0.03)",6.96,"<0.0001","0.28 (0.03)",11.01,"<0.0001","0.04 (0.01)",6.02,"<0.0001"
"sqrt(Irigation)",NA,NA,NA,NA,NA,NA,"0.03 (0.01)",3.26,"0"
"Temperature instability","-0.24 (0.03)",-8.59,"<0.0001",NA,NA,NA,"-0.03 (0.01)",-3.3,"0"
"Precipitation instability","-0.18 (0.03)",-6.32,"<0.0001","-0.09 (0.03)",-3.28,"0","-0.04 (0.01)",-5.05,"<0.0001"
"Time","-0.15 (0.03)",-5.55,"<0.0001","-0.07 (0.03)",-2.64,"0.01","-0.09 (0.01)",-11.18,"<0.0001"
"AIC","1132.04",NA,NA,"421.23",NA,NA,"9915.27",NA,NA
"R2","0.27",NA,NA,"0.35",NA,NA,"0.07",NA,NA
"(Intercept)","1 (0)",836.16,"<0.0001","1 (0)",863.57,"<0.0001","1 (0)",5304.71,"<0.0001"
"Diversity","0 (0)",3.07,"0",NA,NA,NA,NA,NA,NA
"sqrt(Fertilizer)","0 (0)",2.88,"0","0.01 (0)",6.54,"<0.0001",NA,NA,NA
"log(Area harvested)","0.01 (0)",4.79,"<0.0001",NA,NA,NA,NA,NA,NA
"Temperature instability","-0.01 (0)",-4.53,"<0.0001",NA,NA,NA,NA,NA,NA
"AIC","-2495.08",NA,NA,"-1645.87",NA,NA,"-35448.28",NA,NA
"R2","0.1",NA,NA,"0.11",NA,NA,"0",NA,NA
